gyroX,gyroY,gyroZ,accelX,accelY,accelZ,magnetX,magnetY,magnetZ,Time
9.0038290044795e-06,-7.8511653713453e-06,1.6270793093756e-06,-8.9895226905194e-06,1.4712597579596e-05,-9.8100153974043,1.0000372818873,5.7361509078373e-05,-5.1099821133102e-05,0
-7.7845652077677e-05,-0.0001045936895295,-7.6724867664402e-05,-6.9947999952334e-06,4.0843817394181e-06,-9.8099997446661, , , ,0.0099999997764826
-2.2466057961177e-05,-3.6782641331725e-05,-3.9173655064836e-05,-5.2878138553621e-05,-5.7683718507152e-05,-9.8100656474891,0.99999134232121,4.1169919259735e-05,-1.0847042183877e-05,0.019999999552965
0.00059474801438692,0.0005876006015493,0.00059574033729501,-0.00011767502613122,-0.00011176738936796,-9.8101073781437, , , ,0.029999999329448
0.0016739867256672,0.0017341519678584,0.0017158965977016,-0.00026804130510022,-0.00027226016916441,-9.810275195801,1.0000445337663,-7.9418419453762e-06,-1.1374586831593e-05,0.03999999910593
0.00049298462142237,0.00048435566137376,0.00051107376563343,-0.00040940893119527,-0.00037062459537358,-9.81039024424, , , ,0.050000000745058
0.00093771956330736,0.00091712704265481,0.00094455501744243,-0.00039981040115583,-0.0004061301244246,-9.810390554769,1.0000457970299,8.8000782545293e-06,-8.0420320367152e-05,0.059999998658895
2.7043568041127e-05,2.463906995331e-05,3.0858445064933e-05,-0.00041849334256558,-0.00043050789184635,-9.8104269366978, , , ,0.070000000298023
0.00054899611071541,0.00054932835114218,0.00055785029457849,-0.00060284742756708,-0.00058636248360346,-9.8106060095368,0.99995758779978,5.6701808425828e-06,0.00014753488590268,0.079999998211861
0.00018108865420225,0.00018912306402062,0.00019797643143298,-0.00055034105840091,-0.00051819468471079,-9.810539149206, , , ,0.090000003576279
-0.0004143259007803,-0.0004271139353575,-0.00042721241382815,-0.00044145448143223,-0.00043867940737822,-9.8104346278583,1.0000132910366,-3.9897968854224e-06,3.3727813070148e-05,0.10000000149012
-0.00011931343999753,-0.00013555646498261,-0.00014579244667776,-0.00060214518682612,-0.00060701074272223,-9.8105964120889, , , ,0.10999999940395
0.0013803508977516,0.0013889463126227,0.0013633789148259,-0.0005780336826424,-0.00058392250507972,-9.8105797684493,1.0000236701172,5.3529744955043e-05,-5.2875823270309e-05,0.11999999731779
0.002049017067032,0.0020861250193313,0.002045734225197,-0.00046614495420091,-0.00046176493864646,-9.8104686607876, , , ,0.12999999523163
0.0030009148862335,0.0030247822068415,0.0030150658136661,-0.00059490796071132,-0.00058927862823543,-9.8105916149013,1.0000922481051,-9.0754652951918e-05,-5.4241735851527e-05,0.14000000059605
