gyroX,gyroY,gyroZ,Time
6.2510763620189e-06,-3.0349349360789e-06,6.2943900947028e-06,0
-0.0014204107227028,-0.0013996466542768,-0.0013892340867008,0.050000000745058
-0.0009550677713679,-0.00096381495098679,-0.00093008795573897,0.10000000149012
-0.0003056893232871,-0.00032531634058287,-0.00029060383436114,0.15000000596046
-0.00038447076378082,-0.00037646394867099,-0.00037206341756262,0.20000000298023
-0.0019065296027562,-0.0018960458217112,-0.001878041274125,0.25
-0.0019899901062198,-0.0020037350072144,-0.0020062081911235,0.30000001192093
-0.0030538594617319,-0.0030274677774105,-0.0030410843379436,0.34999999403954
-0.0034927645239536,-0.0035186760928593,-0.0034722543428757,0.40000000596046
-0.0024367975179034,-0.0024842255683445,-0.0024644967794464,0.44999998807907
-0.0021042761701225,-0.0020883550203391,-0.0020865359568363,0.5
-0.001917583723931,-0.0019291070353648,-0.0019379288035547,0.55000001192093
-0.00059678514297948,-0.00059567014217844,-0.00057011192448671,0.60000002384186
-0.0011548898266835,-0.0011781152202171,-0.0011944921166374,0.64999997615814
-0.00010754809372845,-0.00010031465639326,-0.0001092217405506,0.69999998807907
-0.0019223367657761,-0.00192868115697,-0.0019098366824022,0.75
-0.0024529690393522,-0.0024481171390728,-0.0024432569699237,0.80000001192093
-0.0010969557815062,-0.0011457731088563,-0.0011408956883302,0.85000002384186
-0.00085331929827049,-0.00087375740857984,-0.00083265370212117,0.89999997615814
1.3366324500334e-05,1.2645617552219e-05,-1.0038808439127e-05,0.94999998807907
2.0615687698519e-05,-2.1403068517025e-05,1.5270841941852e-08,1
-0.0012424259834234,-0.001186778608236,-0.0012166289262654,1.0499999523163
-0.0006911608142323,-0.00068206837535277,-0.00065712804956156,1.1000000238419
0.00053011556433821,0.00051633176319973,0.00049749531968516,1.1499999761581
-0.00087671476724219,-0.00086817113197935,-0.00085601570049689,1.2000000476837
-0.0031071501115565,-0.0031210043665797,-0.0031063311932876,1.25
-0.0016175814255104,-0.0016110565226564,-0.001645172405363,1.2999999523163
-0.001063776792919,-0.0010953733910345,-0.0010884378165459,1.3500000238419
-0.0013937959373386,-0.0013699289036247,-0.0014211374324303,1.3999999761581
-0.0015762923637718,-0.0015881551341899,-0.0015825334894045,1.4500000476837
-0.0031488220574213,-0.0031727579680252,-0.0031727193639671,1.5
-0.0032088175508242,-0.00319268675038,-0.0032283520438559,1.5499999523163
-0.0029668052733306,-0.0029729312311171,-0.0029469076834997,1.6000000238419
-0.0028403256450059,-0.0027929315282305,-0.0028411540351331,1.6499999761581
-0.0031618919305656,-0.0031728681742993,-0.0031803713378179,1.7000000476837
-0.0023029593463121,-0.0023102297684098,-0.0023486828372051,1.75
-0.0018571890653708,-0.0018277548627564,-0.0018314121583881,1.7999999523163
-0.0027846947240076,-0.0027979537366351,-0.0028024865363946,1.8500000238419
-0.0044160662729808,-0.0043897095290136,-0.0044005675243308,1.8999999761581
-0.0033139633301869,-0.0033423764189647,-0.0032969816943103,1.9500000476837
-0.0013478896621666,-0.0013167566665627,-0.0013382478468895,2
-0.0024365983282389,-0.0024244677941935,-0.0024021571552239,2.0499999523163
-0.0029729260772119,-0.0029872980783156,-0.0029570281061529,2.0999999046326
-0.003000475452742,-0.0030060544453941,-0.0030105597931449,2.1500000953674
-0.0036006966881063,-0.0035805188870111,-0.0035912021364405,2.2000000476837
-0.0043646535797938,-0.0044092357851361,-0.0043934720051397,2.25
-0.0042841081540271,-0.0042950427349199,-0.0043011670758698,2.2999999523163
-0.0044120753862881,-0.0044181846412146,-0.0044285311066198,2.3499999046326
-0.0055112436244282,-0.0055039330471705,-0.0055055039607954,2.4000000953674
-0.0055154685627468,-0.005473293916328,-0.0055012153349417,2.4500000476837
-0.0039206257728091,-0.0038916059077983,-0.003877374571753,2.5
-0.0047097391583364,-0.0047267467445119,-0.0047348849222581,2.5499999523163
-0.0049682734029144,-0.0049630094075629,-0.0049678212630215,2.5999999046326
-0.0056500754750575,-0.0056500464607287,-0.0055814599478702,2.6500000953674
-0.0057572661539584,-0.0057620277351019,-0.0057149031103554,2.7000000476837
-0.005649888876222,-0.0056340836805745,-0.0056620773713113,2.75
-0.0059412405101375,-0.0059172368461334,-0.005955589087647,2.7999999523163
-0.0065732602621839,-0.0065405685266321,-0.0065553066481277,2.8499999046326
-0.0071028939797926,-0.0071066094169654,-0.0071015343734812,2.9000000953674
-0.0060468642576718,-0.0060309973238499,-0.0060702359405215,2.9500000476837
-0.0053964416817731,-0.0054045206191498,-0.0054303637726518,3
-0.0045855500582749,-0.0046137207049094,-0.004598858807032,3.0499999523163
-0.0052476745071795,-0.0052739363511599,-0.0052506829972917,3.0999999046326
-0.005673451748591,-0.0056646901961032,-0.0056838875403661,3.1500000953674
-0.0059768478171475,-0.0059970698953241,-0.005959204479607,3.2000000476837
-0.0069088974282556,-0.0069182670487792,-0.0069236315398678,3.25
-0.0066221577519537,-0.0066143800220623,-0.006606998646243,3.2999999523163
-0.0066793301155412,-0.0066928355858403,-0.0066866213828088,3.3499999046326
-0.00591540715754,-0.0059122859944096,-0.0059115607696393,3.4000000953674
-0.0048826427449674,-0.0048838441226807,-0.0048946543293879,3.4500000476837
-0.0036017543935159,-0.0036071417429468,-0.0036058587168895,3.5
-0.0040694003483537,-0.0040464065910617,-0.0040488820975753,3.5499999523163
-0.0035746022018452,-0.0035364124511518,-0.0035464377439789,3.5999999046326
-0.0037643727177011,-0.0037420292451785,-0.0037344092262306,3.6500000953674
-0.0025537140069781,-0.0025372007967743,-0.0025299843239789,3.7000000476837
-0.0019897187745757,-0.0019904367754996,-0.0019537918379175,3.75
-0.0015532738691184,-0.0015356987802818,-0.0015367984529664,3.7999999523163
-0.0020213959269012,-0.0020271154716075,-0.0020453019859234,3.8499999046326
