X,Y,Psi,Time
-1.6312,0,0,0
-1.6284013349994,0,4.83557242016742e-05,0.050000000745058
-1.62305171006475,2.58684988123715e-07,0.00121704283471767,0.10000000149012
-1.6179702559905,6.44303531254466e-06,-0.00376439168926435,0.15000000596046
-1.61355611741627,-1.01735897410496e-05,-0.00443168803950663,0.20000000298023
-1.60865401272706,-3.18983306844315e-05,-0.00414313900719075,0.25
-1.60374144492608,-5.22518984267032e-05,-0.0040260995320931,0.30000001192093
-1.59847457316461,-7.34569629356015e-05,-0.00237332924614814,0.34999999403954
-1.59319375756789,-8.59901005665949e-05,-0.00435622309804631,0.40000000596046
-1.58816376965224,-0.000107901988712778,-0.00830153505795144,0.44999998807907
-1.58326698080521,-0.000148553786848205,-0.00676330269120779,0.5
-1.57749941509945,-0.000187562174286772,-0.00961393570963266,0.55000001192093
-1.57309712995601,-0.000229886764628311,-0.008478789544916,0.60000002384186
-1.56844042449889,-0.000269370936347133,-0.00969506872189058,0.64999997615814
-1.56288239559701,-0.000323258096882708,-0.00901311218961836,0.69999998807907
-1.55764841350472,-0.000370433842145237,-0.00920090733878531,0.75
-1.5528778289644,-0.000414328787126507,-0.00830764344459413,0.80000001192093
-1.54798128940786,-0.000455008427740316,-0.00837934588661197,0.85000002384186
-1.54296706972781,-0.000497025292178359,-0.00810476965312303,0.89999997615814
-1.53738641495719,-0.000542256203977569,-0.00526098923498759,0.94999998807907
-1.53218051673618,-0.00056964463116291,-0.0053430348802434,1
-1.52704667596422,-0.000597075182506893,-0.00590237046903736,1.0499999523163
-1.52295261748066,-0.000621240113018507,-0.00415115278831983,1.1000000238419
-1.51786823640157,-0.000642346276946285,-0.00344602922996162,1.1499999761581
-1.51346438656863,-0.000657522132266714,-0.000654437169238583,1.2000000476837
-1.50854468785426,-0.000660741766426494,-0.000734815009283586,1.25
-1.504639285506,-0.000663611515205799,-0.00420057810340814,1.2999999523163
-1.50014125971363,-0.000682505934987703,-0.00721681560617669,1.3500000238419
-1.49565654561717,-0.000714871851568704,-0.00483554119784777,1.3999999761581
-1.49087619976974,-0.000737987591021813,-0.00588509635845685,1.4500000476837
-1.48603752666181,-0.000766463977263586,-0.00688930202540799,1.5
-1.48094614748896,-0.000801540581053896,-0.00484393835103906,1.5499999523163
-1.4763535063802,-0.000823787225449957,-0.00316540452059267,1.6000000238419
-1.47112504087268,-0.000840337489079963,-0.00239202197818318,1.6499999761581
-1.46600159341228,-0.000852592911383531,-0.00117777535702197,1.7000000476837
-1.46088097081389,-0.000858623857281144,-0.00485542754000754,1.75
-1.45583709533317,-0.00088311422165378,-0.00608758600647252,1.7999999523163
-1.45074289704028,-0.000914125974981857,-0.00593414991715442,1.8500000238419
-1.44616030999351,-0.000941320052731885,-0.00386081403304904,1.8999999761581
-1.44175929585736,-0.000958311634293321,-0.0056679375282818,1.9500000476837
-1.43682168034867,-0.00098629803022832,-0.00670515725095148,2
-1.43258659632736,-0.0010146953601366,-0.00791601933461451,2.0499999523163
-1.42793970519929,-0.00105148100852631,-0.00872016874589425,2.0999999046326
-1.42247396601236,-0.0010991443846925,-0.00990166270285638,2.1500000953674
-1.41736808245157,-0.00114970277381976,-0.0135381309861246,2.2000000476837
-1.41302321956314,-0.0012085276905936,-0.011824723470003,2.25
-1.40787871568775,-0.00126936286174431,-0.0146577638655556,2.2999999523163
-1.40277765087012,-0.00134413842055808,-0.0150993693171436,2.3499999046326
-1.39698826430929,-0.00143156115032456,-0.020257001287412,2.4000000953674
-1.39201793898584,-0.0015322588108082,-0.0182096512329602,2.4500000476837
-1.38671739737623,-0.00162879049479275,-0.016825724853539,2.5
-1.38177890982238,-0.00171189196986267,-0.0179698963801486,2.5499999523163
-1.37780260785973,-0.00178335339631395,-0.0151001008283788,2.5999999046326
-1.37306710177496,-0.00185486545097709,-0.0108797677120275,2.6500000953674
-1.36874572422352,-0.00190188289008861,-0.01333603308075,2.7000000476837
-1.36310613540253,-0.0019770970921631,-0.012434307486203,2.75
-1.35811767773208,-0.00203912830567561,-0.0128037201196153,2.7999999523163
-1.35311205882166,-0.00210322235169282,-0.0165629698237056,2.8499999046326
-1.34853931799854,-0.00217896744651814,-0.0168854336401693,2.9000000953674
-1.34394170834028,-0.00225660745829793,-0.0153200061162766,2.9500000476837
-1.33883158751522,-0.00233490066589476,-0.0164479085903216,3
-1.33361791091865,-0.00242066247593404,-0.0127624304042188,3.0499999523163
-1.32926083361072,-0.00247627239111588,-0.0131982845654108,3.0999999046326
-1.32435896245062,-0.00254097243843561,-0.011140645790657,3.1500000953674
-1.31966361641778,-0.00259328378966005,-0.00985162330813007,3.2000000476837
-1.31529828509371,-0.00263629078082943,-0.0123231429369601,3.25
-1.3104055743398,-0.00269658740704219,-0.00977714568013824,3.2999999523163
-1.30558047522393,-0.00274376460729214,-0.0112590844131378,3.3499999046326
-1.30108137180826,-0.00279442253303474,-0.0100323686767069,3.4000000953674
-1.29647755084233,-0.0028406113119062,-0.00987315662557239,3.4500000476837
-1.29193269201093,-0.0028854848730791,-0.0100407924093888,3.5
-1.28670030859914,-0.00293802391435356,-0.0108680603944275,3.5499999523163
-1.28161579040994,-0.0029932849408414,-0.0159236899370183,3.5999999046326
-1.27653322108091,-0.00307422504019827,-0.017511574720382,3.6500000953674
-1.27186281617187,-0.0031560195458132,-0.0161098536216129,3.7000000476837
-1.2664542947175,-0.00324315757311761,-0.0161479972359275,3.75
-1.26201428677307,-0.00331486104165339,-0.0183473059514919,3.7999999523163
