u_R,u_L,Time
0.055813241733249,0.056133356622694,0.0
0.10312414294551,0.11086085150184,0.050000000745058
0.11811770326552,0.085140607208156,0.10000000149012
0.09049214657104,0.086074644798262,0.15000000596046
0.097087957814828,0.098998152380295,0.20000000298023
0.097864797176647,0.098639598490248,0.25
0.099867617832873,0.11080895696279,0.30000001192093
0.11217998636539,0.099053229261428,0.34999999403954
0.11365969373886,0.087541728953476,0.40000000596046
0.092847601165827,0.10303069928193,0.44999998807907
0.12478954581193,0.10591835551116,0.5
0.084292436897732,0.091807104396179,0.55000001192093
0.097163339570265,0.089111571538674,0.60000002384186
0.10890852473109,0.11342307690746,0.64999997615814
0.10530549425213,0.10406229038317,0.69999998807907
0.09245902470048,0.098372431591909,0.75
0.098171504289906,0.097696834130821,0.80000001192093
0.099379065546329,0.10119676018494,0.85000002384186
0.10220384658679,0.12102967267432,0.89999997615814
0.10439097485598,0.10384783269248,0.94999998807907
0.10452968030777,0.10082687876513,1.0
0.076086064322072,0.087679125195672,1.0499999523163
0.099354537273506,0.10402245516028,1.1000000238419
0.078837348728085,0.097317687894693,1.1499999761581
0.098660044538206,0.098127943245037,1.2000000476837
0.0895797425593,0.066636391218078,1.25
0.099945054168314,0.079977562197525,1.2999999523163
0.081814598217089,0.097578634565324,1.3500000238419
0.099082060827111,0.092134005767413,1.3999999761581
0.10009905729214,0.093451215875984,1.4500000476837
0.095059844821134,0.10860015214369,1.5
0.086297951526429,0.097409845318404,1.5499999523163
0.10200993629821,0.10712972865267,1.6000000238419
0.098450084577333,0.10648839708964,1.6499999761581
0.11458555001704,0.09023949292846,1.7000000476837
0.1049571416886,0.096800252762149,1.75
0.10137797876454,0.10239372566069,1.7999999523163
0.084790611637697,0.098516094985949,1.8500000238419
0.09400251610567,0.082039358745494,1.8999999761581
0.10218709218867,0.095320697726914,1.9500000476837
0.088711536694007,0.080695629819604,2.0
0.095602467662528,0.090278998639182,2.0499999523163
0.11322968340192,0.10540819352338,2.0999999046326
0.11415938569442,0.090085966017906,2.1500000953674
0.081233841595589,0.092576599183294,2.2000000476837
0.11227463321871,0.093519906079619,2.25
0.10349396947632,0.10057054143037,2.2999999523163
0.13287269158983,0.098729168455431,2.3499999046326
0.092650175432161,0.10620363259067,2.4000000953674
0.10144761293321,0.11060920542846,2.4500000476837
0.10257094005712,0.094996524663832,2.5
0.070039856822841,0.089037903092464,2.5499999523163
0.080751616474492,0.10869022128842,2.5999999046326
0.094562903428937,0.078302426930294,2.6500000953674
0.109817093805,0.11578651715195,2.7000000476837
0.10099962097162,0.098554109374871,2.75
0.11256369958598,0.087677466915736,2.7999999523163
0.092534716240036,0.090400005806856,2.8499999046326
0.086783736932105,0.097146866985852,2.9000000953674
0.10594776687037,0.098481052603455,2.9500000476837
0.092088704105396,0.11648656933384,3.0
0.088591319385079,0.085705964880983,3.0499999523163
0.091235176918387,0.10485674540428,3.0999999046326
0.089646082786334,0.098179411493506,3.1500000953674
0.095491591951024,0.079130132251974,3.2000000476837
0.089434393358881,0.10628889494789,3.25
0.10141181063284,0.09160137636657,3.2999999523163
0.085927341624137,0.094048199678299,3.3499999046326
0.091554059932675,0.09260804369548,3.4000000953674
0.091456480182519,0.090346731310191,3.4500000476837
0.10739119904642,0.10191468506707,3.5
0.11843050166616,0.084962234592925,3.5499999523163
0.10692017254298,0.09640837543375,3.5999999046326
0.088782723892991,0.098062117428569,3.6500000953674
0.10831072094906,0.10805821022606,3.7000000476837
0.096091448231004,0.08153202475092,3.75
0.090415495426975,0.11419005735691,3.7999999523163
0.094486284695213,0.10912550359818,3.8499999046326
0.1112576739923,0.093431052576558,3.9000000953674
0.099596630002178,0.089565143929229,3.9500000476837
0.091022257667553,0.099219853767901,4.0
0.097870686936857,0.10452468479132,4.0500001907349
0.086764655758909,0.10334990888643,4.0999999046326
0.097041789316111,0.092518080485461,4.1500000953674
0.11584656960166,0.10428036842923,4.1999998092651
0.10418938016134,0.11066256350292,4.25
0.089780537565469,0.10425772384804,4.3000001907349
0.094924179383322,0.087022138559791,4.3499999046326
0.094178203648476,0.080851536596971,4.4000000953674
0.10932647111547,0.092608998181201,4.4499998092651
0.10426650646554,0.090750650205946,4.5
0.11114292376362,0.096031499443148,4.5500001907349
